,no,userid,version,sum_gameround,retention_1,retention_7
0,1,337,gate_30,38,1,0
7,13,2179,gate_30,39,1,0
8,14,2218,gate_30,305,1,1
9,15,2382,gate_30,73,1,0
10,16,2392,gate_30,14,1,0
11,17,2451,gate_30,204,1,1
12,18,2482,gate_30,108,1,1
14,21,2534,gate_30,5,1,0
18,31,3413,gate_30,37,1,0
19,32,3690,gate_30,13,1,0
22,45,4929,gate_30,386,1,1
24,48,5215,gate_30,13,1,0
25,49,5286,gate_30,12,1,0
26,51,5479,gate_30,25,1,0
27,52,5550,gate_30,29,1,0
28,53,5661,gate_30,136,1,0
29,54,5712,gate_30,105,1,1
31,59,6151,gate_30,94,1,1
36,69,7253,gate_30,45,1,0
37,75,7767,gate_30,139,1,1
38,77,8063,gate_30,50,1,0
39,85,8494,gate_30,5,1,0
40,88,8692,gate_30,3,1,0
44,103,10218,gate_30,22,1,0
45,109,10636,gate_30,246,1,1
48,115,11127,gate_30,66,1,1
49,117,11411,gate_30,122,1,1
50,118,11420,gate_30,75,1,0
51,121,11747,gate_30,1,1,0
52,124,12053,gate_30,11,1,0
53,126,12163,gate_30,47,1,0
54,129,12523,gate_30,31,1,0
55,131,12574,gate_30,22,1,0
56,132,12749,gate_30,6,1,0
57,135,12967,gate_30,24,1,0
58,138,13216,gate_30,24,1,0
61,146,13664,gate_30,42,1,1
64,164,15294,gate_30,51,1,1
66,175,16506,gate_30,4,1,0
68,180,17270,gate_30,49,1,0
69,183,17477,gate_30,46,1,1
71,188,17947,gate_30,104,1,1
75,195,18756,gate_30,38,1,1
76,197,18827,gate_30,20,1,0
79,203,19490,gate_30,72,1,0
82,212,19993,gate_30,5,1,0
83,218,20465,gate_30,108,1,0
86,225,20832,gate_30,13,1,0
89,231,21408,gate_30,20,1,0
93,242,22935,gate_30,274,1,1
95,251,23374,gate_30,8,1,0
99,256,24222,gate_30,134,1,1
101,259,24382,gate_30,22,1,0
102,265,25332,gate_30,152,1,1
103,267,25903,gate_30,8,1,0
105,270,26083,gate_30,100,1,1
108,274,26502,gate_30,147,1,1
109,275,26586,gate_30,391,1,0
110,278,27605,gate_30,19,1,0
111,281,27759,gate_30,61,1,1
114,285,28025,gate_30,57,1,0
115,286,28091,gate_30,35,1,0
117,295,29455,gate_30,51,1,1
119,301,29999,gate_30,260,1,1
120,304,30274,gate_30,7,1,0
121,306,30343,gate_30,8,1,1
122,307,30348,gate_30,48,1,1
124,311,30928,gate_30,12,1,0
125,312,31073,gate_30,270,1,1
126,314,31200,gate_30,141,1,0
127,319,31812,gate_30,37,1,0
128,320,31903,gate_30,467,1,1
137,339,33967,gate_30,33,1,1
140,345,34469,gate_30,222,1,1
142,348,34706,gate_30,29,1,0
144,351,34906,gate_30,10,1,0
146,354,35056,gate_30,84,1,0
147,357,35460,gate_30,43,1,0
148,358,35730,gate_30,50,1,0
149,359,35837,gate_30,23,1,0
150,361,35922,gate_30,21,1,0
151,362,36003,gate_30,48,1,0
153,364,36077,gate_30,13,1,0
154,365,36279,gate_30,41,1,0
155,368,36356,gate_30,303,1,1
158,371,36622,gate_30,4,1,0
162,379,37303,gate_30,177,1,1
164,382,37740,gate_30,39,1,1
165,383,37823,gate_30,12,1,0
166,384,37872,gate_30,12,1,0
167,386,38151,gate_30,9,1,0
168,387,38232,gate_30,216,1,1
170,392,39494,gate_30,87,1,0
171,393,39531,gate_30,71,1,0
174,396,39932,gate_30,55,1,1
175,398,40233,gate_40,78,1,0
176,401,40378,gate_30,552,1,1
177,402,40427,gate_30,96,1,0
178,404,40593,gate_30,12,1,1
179,405,40630,gate_40,99,1,0
180,406,40653,gate_30,107,1,0
181,413,41795,gate_30,136,1,1
182,417,42077,gate_30,12,1,0
183,422,42703,gate_30,9,1,0
184,423,42758,gate_40,11,1,0
185,424,42994,gate_40,113,1,1
186,425,43091,gate_30,6,1,0
187,427,43644,gate_30,17,1,0
188,428,43744,gate_30,141,1,0
189,430,44400,gate_40,95,1,0
190,431,44493,gate_40,339,1,1
191,432,44498,gate_30,24,1,0
192,438,45066,gate_30,85,1,0
193,441,45694,gate_40,6,1,0
194,442,45698,gate_30,452,1,1
195,443,45753,gate_30,26,1,0
196,444,45813,gate_40,12,1,0
197,445,45895,gate_40,2,1,0
198,446,45896,gate_40,11,1,0
199,453,46624,gate_40,148,1,1
200,454,46629,gate_40,57,1,0
201,455,46746,gate_40,3,1,0
202,456,46806,gate_30,163,1,1
203,457,46919,gate_40,47,1,0
204,460,47816,gate_30,220,1,1
205,461,47822,gate_40,63,1,1
206,462,47990,gate_40,25,1,0
207,466,48201,gate_40,84,1,1
208,468,48658,gate_30,216,1,1
209,469,48677,gate_40,17,1,0
210,470,48942,gate_30,290,1,1
211,472,49147,gate_40,24,1,0
212,477,49811,gate_40,9,1,0
213,478,49995,gate_40,15,1,0
214,480,50158,gate_40,87,1,1
215,481,50237,gate_40,86,1,0
216,485,50665,gate_30,10,1,0
217,490,50850,gate_30,34,1,1
218,493,51295,gate_30,117,1,1
219,495,51430,gate_30,34,1,0
220,497,51641,gate_40,20,1,0
221,498,51823,gate_40,54,1,1
222,501,52100,gate_40,55,1,0
223,504,52357,gate_30,22,1,0
224,505,52420,gate_30,15,1,1
225,508,53373,gate_40,298,1,1
226,509,53393,gate_30,338,1,1
227,515,53763,gate_30,9,1,0
228,517,53996,gate_40,115,1,1
229,518,54069,gate_30,170,1,1
230,519,54162,gate_30,174,1,1
231,528,54754,gate_30,70,1,0
232,532,55213,gate_40,141,1,1
233,533,55250,gate_40,47,1,1
234,539,56294,gate_40,2,1,0
235,541,56496,gate_40,543,1,1
236,543,56587,gate_40,54,1,0
237,544,56815,gate_30,202,1,1
238,549,57334,gate_40,5,1,0
239,550,57339,gate_40,22,1,0
240,551,57369,gate_40,399,1,1
241,552,57401,gate_30,13,1,0
242,553,57429,gate_40,29,1,0
243,554,57516,gate_30,38,1,1
244,556,58180,gate_40,19,1,0
245,558,58289,gate_30,237,1,1
246,559,58394,gate_40,25,1,0
247,560,58592,gate_40,85,1,0
248,564,59164,gate_30,7,1,0
249,565,59395,gate_30,33,1,1
250,569,60160,gate_40,11,1,0
251,570,60410,gate_40,26,1,0
252,572,60619,gate_40,65,1,0
253,573,60929,gate_40,16,1,0
254,577,61245,gate_30,24,1,0
255,590,62566,gate_40,67,1,0
256,591,62700,gate_40,36,1,1
257,594,63001,gate_40,33,1,0
258,595,63335,gate_30,9,1,0
259,596,63370,gate_30,179,1,1
260,598,63478,gate_30,202,1,1
261,599,63480,gate_30,9,1,0
262,601,63617,gate_30,902,1,1
263,605,63889,gate_30,9,1,1
264,606,63962,gate_30,4,1,0
265,610,64309,gate_40,125,1,0
266,613,64792,gate_30,269,1,0
267,614,64849,gate_40,31,1,0
268,615,64930,gate_30,510,1,0
269,622,66509,gate_30,46,1,0
270,625,66947,gate_40,13,1,0
271,634,67910,gate_40,18,1,0
272,638,68151,gate_40,136,1,0
273,640,68394,gate_40,474,1,1
274,642,68485,gate_30,26,1,0
275,643,68698,gate_40,83,1,0
276,647,68965,gate_40,105,1,1
277,649,69050,gate_30,20,1,0
278,652,69649,gate_40,80,1,1
279,653,69870,gate_40,210,1,1
280,654,69917,gate_40,16,1,0
281,655,69927,gate_30,1906,1,1
282,659,70175,gate_40,35,1,1
283,660,70294,gate_40,199,1,0
284,664,71062,gate_30,25,1,0
285,665,71119,gate_30,118,1,1
286,666,71161,gate_40,68,1,0
287,667,71165,gate_40,105,1,0
288,669,71235,gate_30,38,1,0
289,675,72085,gate_40,103,1,0
290,676,72164,gate_30,259,1,1
291,678,72419,gate_40,12,1,0
292,679,72470,gate_40,6,1,0
293,680,72555,gate_30,298,1,1
294,684,72813,gate_30,6,1,0
295,687,72977,gate_40,12,1,0
296,688,73378,gate_40,34,1,0
297,692,74276,gate_30,24,1,1
298,694,74377,gate_30,53,1,0
299,696,74568,gate_30,11,1,0
300,697,75029,gate_40,98,1,0
301,703,76573,gate_30,20,1,0
302,705,76662,gate_40,30,1,0
303,707,76784,gate_40,53,1,0
304,709,76917,gate_30,113,1,0
305,713,77195,gate_40,25,1,0
306,717,77731,gate_30,106,1,1
307,721,77850,gate_30,59,1,0
308,724,78183,gate_30,34,1,0
309,727,78409,gate_30,15,1,0
310,731,79646,gate_40,34,1,0
311,735,80282,gate_30,128,1,1
312,741,80634,gate_40,215,1,1
313,744,80860,gate_40,231,1,0
314,749,81524,gate_30,34,1,0
315,753,82064,gate_30,41,1,0
316,757,82783,gate_40,36,1,1
317,759,83072,gate_30,11,1,0
318,763,83254,gate_30,3,1,0
319,766,83438,gate_40,129,1,1
320,768,83798,gate_40,96,1,0
321,769,84100,gate_30,160,1,0
322,772,84406,gate_40,24,1,0
323,773,84816,gate_40,11,1,0
324,776,85007,gate_40,110,1,1
325,777,85277,gate_30,61,1,1
326,783,86821,gate_40,65,1,0
327,786,87258,gate_40,275,1,1
328,791,87542,gate_30,40,1,0
329,797,87827,gate_30,37,1,0
330,799,88282,gate_30,22,1,0
331,801,88392,gate_30,20,1,0
332,802,88497,gate_30,197,1,1
333,804,88907,gate_30,133,1,0
334,815,90755,gate_30,76,1,0
335,816,90892,gate_30,52,1,0
336,817,90916,gate_40,88,1,1
337,818,90979,gate_30,36,1,0
338,819,90992,gate_40,66,1,0
339,823,92061,gate_40,98,1,0
340,827,92286,gate_30,3,1,0
341,834,93166,gate_30,10,1,0
342,841,94159,gate_30,79,1,1
343,844,94455,gate_40,35,1,1
344,847,94904,gate_30,43,1,0
345,848,95033,gate_30,42,1,0
346,849,95357,gate_40,6,1,1
347,850,95371,gate_30,282,1,1
348,855,96058,gate_30,49,1,1
349,856,96076,gate_30,95,1,1
350,858,96471,gate_30,183,1,0
351,860,96561,gate_40,112,1,1
352,861,96675,gate_30,70,1,1
353,862,96744,gate_30,332,1,1
354,863,96745,gate_40,100,1,1
355,865,97308,gate_30,798,1,1
356,868,97754,gate_30,27,1,0
357,869,97777,gate_40,41,1,0
358,870,97849,gate_30,81,1,1
359,871,97873,gate_40,49,1,0
360,872,97971,gate_30,142,1,1
361,874,98229,gate_30,5,1,0
362,880,99252,gate_40,48,1,0
363,881,99264,gate_30,8,1,0
364,882,99307,gate_40,6,1,0
365,884,99583,gate_40,35,1,0
366,886,99631,gate_40,9,1,0
367,887,99806,gate_30,7,1,0
368,888,99912,gate_40,27,1,0
369,889,99928,gate_40,83,1,0
370,894,100151,gate_40,39,1,1
371,895,100214,gate_40,114,1,1
372,896,100367,gate_30,71,1,0
373,898,100556,gate_40,63,1,1
374,899,100585,gate_30,75,1,0
375,900,100807,gate_30,27,1,0
376,903,101024,gate_40,17,1,0
377,904,101041,gate_30,95,1,0
378,906,101591,gate_30,186,1,1
379,907,101601,gate_30,50,1,0
380,908,101664,gate_30,129,1,0
381,910,101697,gate_40,4,1,0
382,914,101915,gate_30,164,1,1
383,915,101953,gate_40,1,1,0
384,919,102540,gate_30,249,1,1
385,921,102598,gate_30,29,1,0
386,922,102742,gate_40,18,1,0
387,927,103095,gate_40,47,1,0
388,929,103414,gate_30,345,1,0
389,931,103498,gate_30,50,1,1
390,933,103557,gate_40,57,1,0
391,935,103714,gate_30,13,1,0
392,937,104157,gate_40,59,1,0
393,938,104158,gate_40,16,1,1
394,942,104577,gate_30,546,1,1
395,944,104686,gate_30,28,1,0
396,946,104796,gate_30,394,1,1
397,948,104899,gate_40,227,1,1
398,950,105277,gate_30,56,1,0
399,958,106447,gate_30,19,1,0
400,961,106600,gate_30,375,1,1
401,964,107040,gate_40,57,1,0
402,971,107981,gate_30,51,1,0
403,981,108668,gate_40,19,1,0
404,982,108753,gate_40,3,1,0
405,984,109111,gate_40,6,1,0
406,985,109151,gate_40,109,1,0
407,986,109158,gate_40,106,1,0
408,988,109366,gate_40,158,1,1
409,989,109431,gate_30,60,1,0
410,991,109556,gate_30,13,1,0
411,994,109757,gate_30,29,1,1
412,997,109991,gate_30,519,1,1
413,998,110004,gate_30,73,1,0
414,1004,111162,gate_30,5,1,0
415,1005,111196,gate_40,52,1,0
416,1006,111362,gate_40,56,1,0
417,1007,111382,gate_40,42,1,1
418,1010,111949,gate_30,20,1,0
419,1013,112127,gate_30,7,1,0
420,1017,112365,gate_40,41,1,0
421,1018,112375,gate_30,26,1,0
422,1019,112718,gate_30,553,1,1
423,1021,113087,gate_40,260,1,1
424,1022,113325,gate_30,86,1,1
425,1024,113462,gate_30,175,1,0
426,1025,113497,gate_30,28,1,0
427,1028,113621,gate_40,44,1,1
428,1029,113666,gate_30,81,1,1
429,1030,113725,gate_40,47,1,0
430,1031,113800,gate_30,37,1,0
431,1032,113888,gate_30,11,1,0
432,1035,114320,gate_30,26,1,0
433,1039,114626,gate_40,11,1,0
434,1041,114985,gate_40,3,1,0
435,1044,115498,gate_40,104,1,0
436,1045,115774,gate_40,28,1,0
437,1047,115854,gate_40,21,1,0
438,1049,116002,gate_30,281,1,1
